screening_id,keeper_key,ai_initial_priority,ai_suggested_role,ai_priority_reason,title,year,publication,category,doi,has_pdf,pdf_path,collections,title_screen_decision_include_maybe_exclude,title_screen_reason_manual,abstract_screen_decision_include_maybe_exclude,abstract_population_manual,abstract_modality_manual,abstract_ai_method_manual,abstract_outcome_manual,full_text_screen_decision_include_maybe_exclude,full_text_sample_manual,full_text_dataset_source_manual,full_text_study_design_manual,full_text_model_metrics_manual,full_text_limitations_manual,quality_signal_strong_moderate_weak_manual,final_use_role_core_background_gap_future_exclude_manual,reviewer_notes_manual
P029,2BW3LG5M,High,core_speech_language_evidence,speech/audio/language modality matches project core; clinical screening/assessment relevance,Multimodal AI for risk stratification in autism spectrum disorder: integrating voice and screening tools,2025,NPJ Digital Medicine,Speech / Audio; Clinical Tools / Screening; General AI / ML Prediction,10.1038/s41746-025-01914-6,yes,/Users/porschecaa/Zotero/storage/QKMPQ9PA/Multimodal AI for risk stratification in autism spectrum disorder - integrating voice and screening tools.pdf,01_Speech_Audio; 05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,include,Best recent benchmark for combining voice with screening tools.,include,Multimodal voice + screening-tool risk stratification,"NPJ Digital Medicine; 1242 children aged 18-48 months. Stage 1 AUROC 0.942, accuracy 0.86; Stage 2 AUROC 0.914, accuracy 0.852; agreement with ADOS-2 risk categories 79.59%.",,Multimodal mobile/screening workflow; requires careful calibration and external validation despite strong scale.,include,"NPJ Digital Medicine; 1242 children aged 18-48 months. Stage 1 AUROC 0.942, accuracy 0.86; Stage 2 AUROC 0.914, accuracy 0.852; agreement with ADOS-2 risk categories 79.59%.",,Multimodal voice + screening-tool risk stratification,"NPJ Digital Medicine; 1242 children aged 18-48 months. Stage 1 AUROC 0.942, accuracy 0.86; Stage 2 AUROC 0.914, accuracy 0.852; agreement with ADOS-2 risk categories 79.59%.",Multimodal mobile/screening workflow; requires careful calibration and external validation despite strong scale.,Strong,core,Best recent benchmark for combining voice with screening tools.
P030,27IITKNS,High,core_speech_language_evidence,speech/audio/language modality matches project core; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Reliably quantifying the severity of social symptoms in children with autism using ASDSpeech,2025,Translational Psychiatry,Speech / Audio; Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.1038/s41398-025-03233-6,yes,/Users/porschecaa/Zotero/storage/AXY2ZJXJ/Reliably quantifying the severity of social symptoms in children with autism using ASDSpeech.pdf,01_Speech_Audio; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,include,Strong rationale for graded severity scoring rather than binary-only output.,include,ASDSpeech severity quantification,"ASDSpeech uses 99,193 vocalizations from 197 ASD children across ADOS-2 assessments; independent testing on 61 children; correlations with ADOS-2 severity reported.",,"ADOS-2 assessment context, not free home conversation; ASD-only severity estimation rather than ASD-vs-TD screening.",include,"ASDSpeech uses 99,193 vocalizations from 197 ASD children across ADOS-2 assessments; independent testing on 61 children; correlations with ADOS-2 severity reported.",,ASDSpeech severity quantification,"ASDSpeech uses 99,193 vocalizations from 197 ASD children across ADOS-2 assessments; independent testing on 61 children; correlations with ADOS-2 severity reported.","ADOS-2 assessment context, not free home conversation; ASD-only severity estimation rather than ASD-vs-TD screening.",Strong,core,Strong rationale for graded severity scoring rather than binary-only output.
P031,RBSTR768,High,core_speech_language_evidence,speech/audio/language modality matches project core; clinical screening/assessment relevance,Screening autism spectrum disorder in children using machine learning on speech transcripts,2025,Scientific Reports,Speech / Audio; Clinical Tools / Screening; General AI / ML Prediction,10.1038/s41598-025-01500-6,yes,/Users/porschecaa/Zotero/storage/TY7L3KJS/Screening autism spectrum disorder in children using machine learning on speech transcripts.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,include,One of the closest matches to asd-project speech-transcript workflow.,include,ML on children speech transcripts,Scientific Reports paper using TalkBank transcript features; reports accuracy above 86% across datasets and strong logistic-regression/TabNet results.,,Uses curated transcripts; age/dataset differences and TalkBank generalizability remain concerns.,include,Scientific Reports paper using TalkBank transcript features; reports accuracy above 86% across datasets and strong logistic-regression/TabNet results.,,ML on children speech transcripts,Scientific Reports paper using TalkBank transcript features; reports accuracy above 86% across datasets and strong logistic-regression/TabNet results.,Uses curated transcripts; age/dataset differences and TalkBank generalizability remain concerns.,Moderate,core,One of the closest matches to asd-project speech-transcript workflow.
P032,QJR8K5QS,High,core_speech_language_evidence,speech/audio/language modality matches project core,The Noor Project: fair transformer transfer learning for autism spectrum disorder recognition from speech,2025,,Speech / Audio,,yes,/Users/porschecaa/Downloads/The Noor Project - fair transformer transfer learning for autism spectrum disorder recognition from speech.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,include,Essential support for bias/fairness gap in speech AI.,include,Noor Project fairness in ASD speech recognition,Frontiers in Digital Health paper on transformer transfer learning and fairness testing; reports strong mixed-gender performance but female sensitivity can drop sharply.,,Fairness/performance varies by subgroup; transfer-learning setup depends on available corpora.,include,Frontiers in Digital Health paper on transformer transfer learning and fairness testing; reports strong mixed-gender performance but female sensitivity can drop sharply.,,Noor Project fairness in ASD speech recognition,Frontiers in Digital Health paper on transformer transfer learning and fairness testing; reports strong mixed-gender performance but female sensitivity can drop sharply.,Fairness/performance varies by subgroup; transfer-learning setup depends on available corpora.,Moderate,core,Essential support for bias/fairness gap in speech AI.
P033,9ZA7HANM,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,The Role of Artificial Intelligence for Early Diagnostic Tools of Autism Spectrum Disorder: A Systematic Review,2025,Turkish Archives of Pediatrics,Review / Survey; Video / Behavior / Movement; Eye Tracking / Gaze; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.5152/turkarchpediatr.2025.24183,yes,/Users/porschecaa/Zotero/storage/622EA4X2/The Role of Artificial Intelligence for Early Diagnostic Tools of Autism Spectrum Disorder - A Systematic Review.pdf,06_Clinical_Ethics_Privacy; 07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P034,WHU47UFD,High,core_speech_language_evidence,speech/audio/language modality matches project core,Automated detection of adult autism from vowel acoustics using machine learning,2026,medRxiv,Speech / Audio; General AI / ML Prediction,10.64898/2026.04.03.26350102,yes,/Users/porschecaa/Zotero/storage/9ML8TZ94/Automated detection of adult autism from vowel acoustics using machine learning.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,include,"Use only as future/acoustic plausibility, not as core child-ASD evidence.",include,Adult vowel acoustics preprint,medRxiv preprint; 18 autistic adults + 18 neurotypical adults; best model discriminability about 89%.,,"Not peer reviewed, adult controlled-vowel task, very small sample, not child screening.",include,medRxiv preprint; 18 autistic adults + 18 neurotypical adults; best model discriminability about 89%.,,Adult vowel acoustics preprint,medRxiv preprint; 18 autistic adults + 18 neurotypical adults; best model discriminability about 89%.,"Not peer reviewed, adult controlled-vowel task, very small sample, not child screening.",Weak,future,"Use only as future/acoustic plausibility, not as core child-ASD evidence."
P035,JP7UJE9A,High,core_speech_language_evidence,speech/audio/language modality matches project core,Machine Learning-Based Early Prediction Model for Autism Spectrum Disorder in Infants Using Acoustic Feature,2026,Autism Research,Speech / Audio; General AI / ML Prediction,10.1002/aur.70179,yes,/Users/porschecaa/Downloads/Machine Learning-Based Early Prediction Model for Autism Spectrum Disorder in Infants Using Acoustic Feature.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,include,Corrected acoustic early-prediction evidence.,include,Infant acoustic-feature SVM prediction model,"Prospective cohort; PDF reports 88 infants, 28 later diagnosed with ASD. Best sigmoid-kernel SVM: sensitivity 92.86%, specificity 93.33%, accuracy 93.18%.",,Single clinical context and infant vocalization task; not CNN/Random Forest and not N=124.,include,"Prospective cohort; PDF reports 88 infants, 28 later diagnosed with ASD. Best sigmoid-kernel SVM: sensitivity 92.86%, specificity 93.33%, accuracy 93.18%.",,Infant acoustic-feature SVM prediction model,"Prospective cohort; PDF reports 88 infants, 28 later diagnosed with ASD. Best sigmoid-kernel SVM: sensitivity 92.86%, specificity 93.33%, accuracy 93.18%.",Single clinical context and infant vocalization task; not CNN/Random Forest and not N=124.,Moderate,core,Corrected acoustic early-prediction evidence.
P036,48NKH9H2,High - PDF needed,thai_local_context_evidence,Thai/local clinical context; clinical screening/assessment relevance; PDF missing; retrieve before full-text screening,"Translation and validation of the developmental, dimensional and diagnostic interview (3Di) for diagnosis of autism spectrum disorder in Thai children",2011,,Clinical Tools / Screening; Thai / Local Context; General AI / ML Prediction,,no,,09_Thai_Local_Context,maybe,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.,maybe,,,,,maybe_pdf_needed,,,,,,Cannot_appraise_no_pdf,reserve_pdf_needed,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.
P037,MVT3EIZF,High - PDF needed,core_speech_language_evidence,speech/audio/language modality matches project core; clinical screening/assessment relevance; PDF missing; retrieve before full-text screening,Detection of Autism Spectrum Disorder in Children Using Machine Learning Techniques,2021,Sn Computer Science,Speech / Audio; Clinical Tools / Screening; General AI / ML Prediction,10.1007/s42979-021-00776-5,no,,01_Speech_Audio; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,maybe,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.,maybe,,,,,maybe_pdf_needed,,,,,,Cannot_appraise_no_pdf,reserve_pdf_needed,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.
P038,YVI86GFE,High - PDF needed,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; less central modality for current speech/language project; PDF missing; retrieve before full-text screening,"Artificial intelligence-based approaches for improving the diagnosis, triage, and prioritization of autism spectrum disorder: a systematic review of current trends and open issues",2023,Artificial Intelligence Review,Review / Survey; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1007/s10462-023-10536-x,no,,00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy; 07_Review_Papers,maybe,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.,maybe,,,,,maybe_pdf_needed,,,,,,Cannot_appraise_no_pdf,reserve_pdf_needed,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.
P039,6T7L2DRQ,High - PDF needed,core_speech_language_evidence,speech/audio/language modality matches project core; review/synthesis paper useful for background and gap framing; PDF missing; retrieve before full-text screening,Artificial Intelligence and the Future of Communication Sciences and Disorders: A Bibliometric and Visualization Analysis,2024,"Journal of Speech, Language, and Hearing Research",General AI / ML Prediction,10.1044/2024_JSLHR-24-00157,no,,00_All_ASD_AI_Literature; 07_Review_Papers,maybe,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.,maybe,,,,,maybe_pdf_needed,,,,,,Cannot_appraise_no_pdf,reserve_pdf_needed,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.
P040,JKGXIYXN,High - PDF needed,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; PDF missing; retrieve before full-text screening,Early diagnostic value of home video-based machine learning in autism spectrum disorder: a meta-analysis,2024,,Review / Survey; Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,,no,,00_All_ASD_AI_Literature; 07_Review_Papers,maybe,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.,maybe,,,,,maybe_pdf_needed,,,,,,Cannot_appraise_no_pdf,reserve_pdf_needed,Potentially relevant but PDF/full text was not available in ZIP; do not use for final claims until retrieved.
P041,G42Q72IM,Medium,review_background_or_gap,review/synthesis paper useful for background and gap framing; video/behavior modality; useful mainly for multimodal/future-work context,A Review of Machine Learning Methods of Feature Selection and Classification for Autism Spectrum Disorder,2020,Brain Sciences,Review / Survey; Video / Behavior / Movement; General AI / ML Prediction,10.3390/brainsci10120949,yes,/Users/porschecaa/Zotero/storage/KY8IARE4/A Review of Machine Learning Methods of Feature Selection and Classification for Autism Spectrum Disorder.pdf,00_All_ASD_AI_Literature; 07_Review_Papers,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P042,LGHHGLEG,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Application of the Still-Face Paradigm in Early Screening for High-Risk Autism Spectrum Disorder in Infants and Toddlers,2020,Frontiers in Pediatrics,Video / Behavior / Movement; Clinical Tools / Screening,10.3389/fped.2020.00290,yes,/Users/porschecaa/Zotero/storage/VYNWUXGH/Application of the Still-Face Paradigm in Early Screening for High-Risk Autism Spectrum Disorder in Infants and Toddlers.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P043,FKMUVZ5J,Medium,clinical_screening_context,clinical screening/assessment relevance,Autism AI: a New Autism Screening System Based on Artificial Intelligence,2020,Cognitive Computation,Clinical Tools / Screening; General AI / ML Prediction,10.1007/s12559-020-09743-3,yes,/Users/porschecaa/Downloads/Autism AI - a New Autism Screening System Based on Artificial Intelligence.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P044,GYHBH7HY,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Multi-modular AI Approach to Streamline Autism Diagnosis in Young Children,2020,Scientific Reports,Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.1038/s41598-020-61213-w,yes,/Users/porschecaa/Zotero/storage/3HCV7A8V/Multi-modular AI Approach to Streamline Autism Diagnosis in Young Children.pdf,03_Video_Behavior; 05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P045,ZGS6NEZB,Medium,review_background_or_gap,review/synthesis paper useful for background and gap framing,Annual Research Review: Achieving universal health coverage for young children with autism spectrum disorder in low‐ and middle‐income countries: a review of reviews,2021,Journal of Child Psychology and Psychiatry,Review / Survey; Intervention / Therapy / Education,10.1111/jcpp.13404,yes,/Users/porschecaa/Zotero/storage/LDM72NYZ/Annual Research Review - Achieving universal health coverage for young children with autism spectrum disorder in low‐ and middle‐income countries - a review of reviews.pdf,07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P046,XL52XVXL,Medium,multimodal_or_future_work_context,video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project; PDF missing; title/abstract screening only until PDF is retrieved,Computational Methods to Measure Patterns of Gaze in Toddlers With Autism Spectrum Disorder,2021,,Eye Tracking / Gaze,,no,,00_All_ASD_AI_Literature; 03_Video_Behavior; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P047,P2ZJQRS2,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Developing a New Autism Diagnosis Process Based on a Hybrid Deep Learning Architecture Through Analyzing Home Videos,2021,arXiv (Cornell University),Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.48550/arxiv.2104.01137,yes,/Users/porschecaa/Zotero/storage/5NWRNCPN/Developing a New Autism Diagnosis Process Based on a Hybrid Deep Learning Architecture Through Analyzing Home Videos.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P048,9L5L7CML,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Is Smiling the Key? Machine Learning Analytics Detect Subtle Patterns in Micro-Expressions of Infants with ASD,2021,Journal of Clinical Medicine,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.3390/jcm10081776,yes,/Users/porschecaa/Downloads/Is Smiling the Key Machine Learning Analytics Detect Subtle Patterns in Micro-Expressions of Infants with ASD.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P049,DTEPM4KG,Medium,review_background_or_gap,review/synthesis paper useful for background and gap framing; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Automatic autism spectrum disorder detection using artificial intelligence methods with MRI neuroimaging: A review,2022,Frontiers in Molecular Neuroscience,Review / Survey; Video / Behavior / Movement; Neuroimaging / EEG / Biomarkers; General AI / ML Prediction,10.3389/fnmol.2022.999605,yes,/Users/porschecaa/Zotero/storage/9KTEQR36/Automatic autism spectrum disorder detection using artificial intelligence methods with MRI neuroimaging - A review.pdf,07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P050,EF3E3H88,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Beyond the three-chamber test: toward a multimodal and objective assessment of social behavior in rodents,2022,Molecular Autism,Video / Behavior / Movement; Clinical Tools / Screening,10.1186/s13229-022-00521-6,yes,/Users/porschecaa/Zotero/storage/MCT3IUSL/Beyond the three-chamber test - toward a multimodal and objective assessment of social behavior in rodents.pdf,03_Video_Behavior; 05_Multimodal_AI; 00_All_ASD_AI_Literature,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
P051,2M5MN383,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Evaluation of an artificial intelligence-based medical device for diagnosis of autism spectrum disorder,2022,NPJ Digital Medicine,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1038/s41746-022-00598-6,yes,/Users/porschecaa/Zotero/storage/4S7RAB6E/Evaluation of an artificial intelligence-based medical device for diagnosis of autism spectrum disorder.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,include,Key safety precedent for indeterminate/uncertainty gating.,include,AI-based medical device with indeterminate output,"Double-blind, multisite prospective comparator cohort; 425 study completers; determinate-output sensitivity 98.4%, specificity 78.9%; 31.8% received determinate output.",,"Device abstains for many complex cases; output is diagnosis-support, not autonomous diagnosis.",include,"Double-blind, multisite prospective comparator cohort; 425 study completers; determinate-output sensitivity 98.4%, specificity 78.9%; 31.8% received determinate output.",,AI-based medical device with indeterminate output,"Double-blind, multisite prospective comparator cohort; 425 study completers; determinate-output sensitivity 98.4%, specificity 78.9%; 31.8% received determinate output.","Device abstains for many complex cases; output is diagnosis-support, not autonomous diagnosis.",Strong,core,Key safety precedent for indeterminate/uncertainty gating.
P052,YW75HANF,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Prediction of autistic tendencies at 18 months of age via markerless video analysis of spontaneous body movements in 4-month-old infants,2022,Scientific Reports,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1038/s41598-022-21308-y,yes,/Users/porschecaa/Zotero/storage/ZENXG22T/Prediction of autistic tendencies at 18 months of age via markerless video analysis of spontaneous body movements in 4-month-old infants.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P053,MZVR9Y8I,Medium,clinical_screening_context,clinical screening/assessment relevance,An evaluation of machine learning approaches for early diagnosis of autism spectrum disorder,2023,Healthcare Analytics,Clinical Tools / Screening; General AI / ML Prediction,10.1016/j.health.2023.100293,yes,/Users/porschecaa/Zotero/storage/TX3XKTPZ/An evaluation of machine learning approaches for early diagnosis of autism spectrum disorder.pdf,00_All_ASD_AI_Literature; 08_Maybe_Exclude_Check,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P054,J3MRNT3U,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Autism spectrum Disorder detection Using Face Features based on Deep Neural network,2023,Wasit Journal of Computer and Mathematics Science,Video / Behavior / Movement; Clinical Tools / Screening,10.31185/wjcm.100,yes,/Users/porschecaa/Zotero/storage/CJRTAVAN/Autism spectrum Disorder detection Using Face Features based on Deep Neural network.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P055,6RSWBGEF,Medium,review_background_or_gap,review/synthesis paper useful for background and gap framing; less central modality for current speech/language project,Candidate biomarkers in psychiatric disorders: state of the field,2023,World Psychiatry,Review / Survey; Neuroimaging / EEG / Biomarkers; Intervention / Therapy / Education,10.1002/wps.21078,yes,/Users/porschecaa/Zotero/storage/ZZUDG5NU/Candidate biomarkers in psychiatric disorders - state of the field.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P056,VTHF4HMH,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Detection of autism spectrum disorder (ASD) in children and adults using machine learning,2023,Scientific Reports,Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.1038/s41598-023-35910-1,yes,/Users/porschecaa/Zotero/storage/DE7JESH5/Detection of autism spectrum disorder (ASD) in children and adults using machine learning.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P057,67FAGKGF,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Introducing SSBD+ Dataset with a Convolutional Pipeline for Detecting Self-Stimulatory Behaviours in Children Using Raw Videos,2023,not reported,Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.1109/healthcom56612.2023.10472349,yes,/Users/porschecaa/Downloads/Introducing SSBD+ Dataset with a Convolutional Pipeline for Detecting Self-Stimulatory Behaviours in Children Using Raw Videos.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P058,4YHTPX7Z,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Neuroimaging genetics approaches to identify new biomarkers for the early diagnosis of autism spectrum disorder,2023,Molecular Psychiatry,Video / Behavior / Movement; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening,10.1038/s41380-023-02060-9,yes,/Users/porschecaa/Zotero/storage/2DRQ7AUD/Neuroimaging genetics approaches to identify new biomarkers for the early diagnosis of autism spectrum disorder.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P059,GBSRL6QN,Medium,review_background_or_gap,review/synthesis paper useful for background and gap framing,Artificial intelligence in positive mental health: a narrative review,2024,Frontiers in Digital Health,Review / Survey; General AI / ML Prediction,10.3389/fdgth.2024.1280235,yes,/Users/porschecaa/Zotero/storage/IP4F7MBA/Artificial intelligence in positive mental health - a narrative review.pdf,06_Clinical_Ethics_Privacy; 07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
P060,RSWB7VEV,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Autism Spectrum Disorder Screening on HomeVideos Using Deep Learning,2024,International Journal of Image Graphics and Signal Processing,Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.5815/ijigsp.2024.04.08,yes,/Users/porschecaa/Zotero/storage/CJEUHDPU/Autism Spectrum Disorder Screening on HomeVideos Using Deep Learning.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P061,IZZE6KCS,Medium,clinical_screening_context,clinical screening/assessment relevance,Clinical Practice Guidelines on using artificial intelligence and gadgets for mental health and well-being,2024,Indian Journal of Psychiatry,Intervention / Therapy / Education; General AI / ML Prediction,10.4103/indianjpsychiatry.indianjpsychiatry_926_23,yes,/Users/porschecaa/Downloads/Clinical Practice Guidelines on using artificial intelligence and gadgets for mental health and well-being.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
